actor_entropy,actor_loss,actor_target_entropy,alpha_loss,alpha_value,batch_reward,critic_loss,critic_target_value,critic_value_reg,duration,episode,episode_reward,step
7.067905045099557,-2.9363300496526064,-12.0,1.8147654410004617,0.09516133906875844,0.487455823302269,0.07533149217069149,1.705267988115549,14.501553053379059,16.791259050369263,6.0,508.9723593839185,6000
5.372498708248139,-5.696955305099487,-12.0,1.5069265097379685,0.08665323320445247,0.4909361327290535,0.027233287330716848,4.420767164230346,37.767989904403684,16.524962425231934,7.0,497.42781133218324,7000
3.205273280382156,-8.520476068496704,-12.0,1.2100394732952118,0.07951882305121903,0.4933872030377388,0.03370403243228793,7.214922477722168,63.996419757843015,16.0548255443573,8.0,498.7320015257618,8000
2.007691378235817,-11.133014179229736,-12.0,1.0253573498725892,0.07317264680108224,0.4838072810471058,0.05735879340581596,9.885580101966857,89.90936302947998,16.17489528656006,9.0,502.6249512085357,9000
1.5838129199743272,-13.179063200950623,-12.0,0.9134291406869889,0.06723166735154004,0.4514320091605186,0.09374200745671987,12.086638632774353,111.66908750152588,0.0,10.0,243.36879538313028,10000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.339134216308594,0.0,0.0,10000
1.3081074374318122,-14.784381923675538,-12.0,0.820464859187603,0.06164475706064216,0.41394089990854266,0.10457768595218658,13.853006693840026,128.77258558654785,17.31207799911499,11.0,114.94334006889588,11000
1.253573162853718,-16.080029237747194,-12.0,0.7479625707864761,0.05643259857049688,0.38457272720336916,0.12434843397885562,15.301255599021912,141.92815222167968,16.24372959136963,12.0,47.86646543176755,12000
0.9578051356449723,-17.1554972114563,-12.0,0.6691691133379937,0.051622327627388546,0.35867989745736123,0.14095205661654472,16.47539437866211,152.32401280212403,15.9709792137146,13.0,84.53067001956006,13000
0.3375388421546668,-18.25693142127991,-12.0,0.5837101376056671,0.04729915376903875,0.347039458990097,0.19581796006858349,17.65834656715393,161.97591722106932,15.843404769897461,14.0,55.085406738083144,14000
-0.18861785073578358,-19.044387336730956,-12.0,0.512443600744009,0.043370357525404975,0.3315259872674942,0.17682872074097394,18.52024981498718,169.23943634033202,16.046050310134888,15.0,249.24005610373368,15000
-0.7771687339395285,-19.645771036148073,-12.0,0.44673954167962077,0.039792347092625184,0.3158752798140049,0.17342889894545077,19.182324174880982,175.32737843322755,15.823593616485596,16.0,88.16758906642858,16000
-1.2901426281034947,-20.145418416976927,-12.0,0.3912571790218353,0.036518709749083104,0.3022857023477554,0.17882271620631218,19.731862432479858,180.725828125,15.995425462722778,17.0,77.08760055377947,17000
-1.745524188041687,-20.74885355949402,-12.0,0.3437566927075386,0.03351542374228858,0.29632513961195944,0.18824823053181172,20.372789125442505,186.99209419250488,17.18863010406494,18.0,90.47750836295343,18000
-1.996796334385872,-21.647668504714964,-12.0,0.30747116696834564,0.03073234264038213,0.3013068165183067,0.22831835843622683,21.31784935951233,194.37933911132814,16.10197615623474,19.0,242.47144285037797,19000
-2.338988079071045,-23.059056144714354,-12.0,0.27217339506745336,0.028163196903073076,0.31825345212221146,0.2503494665175676,22.75485239982605,205.60155197143555,0.0,20.0,656.1907331932588,20000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.671582221984863,0.0,0.0,20000
-2.8642152831554415,-24.547803924560547,-12.0,0.2360836202353239,0.025831673061863777,0.33572315409779546,0.26440534484386446,24.26218709945679,216.01033584594725,17.14380693435669,21.0,654.0434085375899,21000
-3.4774768958091737,-25.961810037612914,-12.0,0.20228320653736592,0.023723417294892146,0.3517878088951111,0.2619069544225931,25.680749406814574,225.38482461547852,16.205586910247803,22.0,696.9083073540907,22000
-4.151359759092331,-27.356648603439332,-12.0,0.17133740593492985,0.02181548383662261,0.3684263880252838,0.2654730191230774,27.073524463653566,234.38777635192872,16.09069299697876,23.0,676.3879991794342,23000
-4.859364334106445,-28.60900542831421,-12.0,0.1435595396310091,0.02008999505334444,0.3819254933297634,0.27282082967460153,28.333594049453737,243.0977631378174,16.113847970962524,24.0,697.6243517792605,24000
-5.660905222892762,-29.758924982070923,-12.0,0.117569161452353,0.01853051431563807,0.3923539646267891,0.27929156497120855,29.485132888793945,250.59002130126953,16.186166524887085,25.0,684.9547440786531,25000
-6.495444715023041,-30.90014291191101,-12.0,0.09437979169934987,0.017128955549178947,0.4052526238262653,0.2770585899651051,30.63034983253479,257.7646764984131,16.012598514556885,26.0,671.7446693186779,26000
-7.246825905799866,-31.960170997619628,-12.0,0.07547197009995579,0.015863206162278744,0.4172870900332928,0.29326884433627126,31.697277509689332,265.06587518310545,16.167194843292236,27.0,716.0734743084939,27000
-8.024611576080321,-32.8642909488678,-12.0,0.058576102510094645,0.014714072084525161,0.4249462414383888,0.29982524847984315,32.61352774810791,271.2622265777588,16.277859687805176,28.0,705.1699242069567,28000
-8.931366331100463,-33.54684442329407,-12.0,0.0421368784122169,0.013709894675774048,0.4284261364042759,0.2788942882120609,33.29153598403931,275.8368228302002,16.215783834457397,29.0,649.1934554611926,29000
-9.74296882534027,-33.72774952316284,-12.0,0.029043558474630117,0.012841971236521567,0.4215580318570137,0.29110839070379735,33.47587292098999,277.3499127044678,0.0,30.0,225.28052947045967,30000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.466347455978394,0.0,0.0,30000
-10.508120681762696,-34.21789344787598,-12.0,0.018114651581272484,0.012124699985890207,0.42040426540374753,0.2982687436491251,33.96719090270996,281.3289599761963,17.25311303138733,31.0,185.48493022807912,31000
-11.09702460193634,-34.74160884475708,-12.0,0.010433429669588804,0.011527980170573701,0.42196906033158305,0.29346996599435804,34.49458885574341,284.65701203918456,16.341212034225464,32.0,638.191910379656,32000
-11.508382416725158,-35.00369132614136,-12.0,0.005457223945646547,0.011073332901613128,0.4175058658719063,0.3058034085482359,34.76462891387939,286.8509125366211,16.50866937637329,33.0,243.29334728819222,33000
-11.826516810417175,-35.517221717834474,-12.0,0.0018737043640721822,0.010788542252777512,0.41749735483527184,0.3358000312894583,35.28389896392822,290.43497329711914,16.18146300315857,34.0,291.2629998491679,34000
-12.000965294837952,-36.303739234924315,-12.0,-1.022531618946232e-05,0.010667822194503889,0.4246129485964775,0.34169587564468384,36.081502372741696,296.15348724365236,16.170076370239258,35.0,767.002349654895,35000
-12.076107299804688,-36.59916594314575,-12.0,-0.0008213660446635913,0.010813614864800015,0.422894460439682,0.3364563889205456,36.38489335632324,299.27897410583495,16.06509494781494,36.0,327.4463344843638,36000
-11.985355874061584,-37.049734817504884,-12.0,0.00015950040667667053,0.010883159252496954,0.4247497563958168,0.35810608440637587,36.84837981414795,302.6367570800781,16.57190203666687,37.0,358.88951746506183,37000
-11.98536677646637,-37.599251537323,-12.0,0.00015854551053780597,0.010822753355279248,0.4286611621975899,0.36705383130908015,37.40281286239624,307.281925201416,16.357880115509033,38.0,726.7773489221158,38000
-11.94015613937378,-38.048796310424805,-12.0,0.0006380881007062271,0.010689148737241378,0.4302949994504452,0.37631388640403746,37.85519672012329,310.42937255859374,16.33187198638916,39.0,336.7347009189454,39000
-11.943151641845704,-38.87980490875244,-12.0,0.000592031881751609,0.010415111436707643,0.43896486967802045,0.4183381073772907,38.69658479309082,317.300891418457,0.0,40.0,835.7948337359184,40000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.364742040634155,0.0,0.0,40000
-11.9910275182724,-39.767811725616454,-12.0,9.253682610869874e-05,0.010244902111555746,0.44823832949995995,0.418394890666008,39.5854310836792,321.98124826049803,17.110442399978638,41.0,753.1230632856096,41000
-11.970895837783813,-40.52594574737549,-12.0,0.0002970194790395908,0.010216792663820154,0.4552167268693447,0.4323412164747715,40.35216175079346,328.25948400878906,16.156967639923096,42.0,805.1814682805767,42000
-12.02563051891327,-41.33368883895874,-12.0,-0.0002608007256349083,0.01019683735949099,0.46377421700954435,0.47050237983465193,41.159349842071535,333.1793335571289,16.550724029541016,43.0,762.019599757021,43000
-12.002220244407654,-42.12366136550904,-12.0,-2.2472271375590935e-05,0.010278174051633539,0.47196671944856644,0.44208997586369514,41.9511838722229,338.29933514404297,16.47464609146118,44.0,847.3343647797107,44000
-12.00174008655548,-42.890280445098874,-12.0,-1.7469213969889097e-05,0.010275472700324076,0.4799609055519104,0.456060756534338,42.72334843444824,343.65330435180664,16.21628499031067,45.0,783.908863700953,45000
